;    Ministério da Educação;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;       Instituto Nacional de Estudos e Pesquisas Educacionais Anísio Teixeira;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
                                                          Média de Alunos por Turma - Escolas da região Norte, em 2010;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Média de Alunos por Turma da Educação Básica - Ensino Infantil (Creche, Pré-Escola), Ensino Fundamental e Ensino Médio, por Localização e Dependência Administrativa, segundo os municípios da região  Norte, em 2010. ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Ano;Região;UF;Código do Município;Município;Código da Escola;Nome da Escola;Localização;Rede;Média de Alunos por Turma / Etapas de Ensino;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;Educação Infantil;;;Ensino Fundamental 8 e 9 anos ;;;;;;;;;;;;;Ensino Médio;;;;;
;;;;;;;;;;;;Séries;;;;;;;;;;;;Turmas Unificadas 1;Séries;;;;;
;;;;;;;;;Total;Creche;Pré-Escola;Total;Anos Iniciais;Anos Finais;1º Ano;1ª série/ 2° ano;2ª série/ 3° ano;3ª série/ 4° ano;4ª série/ 5° ano;5ª série/ 6° ano;6ª série/ 7° ano;7ª série/ 8° ano;8ª série/ 9° ano;;Total Médio;1ª série;2ª série;3ª série;4ª série;Médio Não-Seriado
2010;Norte;RO;1100015;ALTA FLORESTA D'OESTE;11022558;EIEEF HAP BITT TUPARI;Rural;Estadual;--;--;--;5;--;--;--;--;--;--;--;--;--;--;--;5;--;--;--;--;--;--
2010;Norte;RO;1100015;ALTA FLORESTA D'OESTE;11024291;EMMEF 07 DE SETEMBRO;Rural;Municipal;--;--;--;9,5;--;--;--;--;--;--;--;--;--;--;--;9,5;--;--;--;--;--;--
2010;Norte;RO;1100015;ALTA FLORESTA D'OESTE;11024313;EMMEF AFONSO AURELIO PORTO;Rural;Municipal;--;--;--;11;--;--;--;--;--;--;--;--;--;--;--;11;--;--;--;--;--;--
2010;Norte;RO;1100015;ALTA FLORESTA D'OESTE;11024348;EMMEF ALUISIO DE AZEVEDO;Rural;Municipal;--;--;--;11;--;--;--;--;--;--;--;--;--;--;--;11;--;--;--;--;--;--
2010;Norte;RO;1100015;ALTA FLORESTA D'OESTE;11024372;EMEIEF ANA NERY;Rural;Municipal;26;--;26;14,1;12,6;16;15;10;9;12;17;26;14;16;8;--;--;--;--;--;--;--
